"","MD5.hash.of.participant.s.IP.address","Value"
"1","7602359263c414d8e54a1644f7c1d1f9",""
"2","1e74396cfff3e05944cdf9281688304b","Põlva"
"3","7a43f7c437fe6de3ea7c2e667167fff7","Tallinn"
"4","545220c6c57691d92175f259c8c3be16","Tallinn"
"5","343e12ad75f8de3a5adb02ef63ed4a65","Võrus"
"6","35e04e85284ac63c62b2e184ab6eb0e9","Tallinn"
"7","4597bbda411335f917008b9c87af5f2c","Lauka"
"8","a8d747b55377f56c3bdea51598b490ea","Tallinn"
"9","b38f2544cc166aaaacefe42abc84466f","Paide"
"10","6eab9ae27b72a8e06de44d9f4e2f75ef","Tartu"
"11","10a56bd2964881a744348d1b6814fc08","Rapla"
"12","fd9cbe174b6c7dec3836693cb4e971c3","Pärnu"
"13","0d91f94ffb1d7d79c93143a41e659731","Tallinn"
"14","4082a084d0d63a7574fa8fae7b426a51","Viljandi, Õisu alevik"
"15","60f4972ecc21725d59de606d17ade9ad","Kuriste küla"
"16","0c0eec4090ee09a85768e2bc6ade90be","Tallinn"
"17","32b8c97dc6a7b155ed14dc37145d2aa7","Jõgeva"
"18","92f362a32969c8913756dfbeca9223a2","Elva"
"19","2e3cbb1b8e8a31606df2abe2754704fd","Tartu"
"20","7ed28ecb5d64af299e43c1b9fbd64b6b","Tartu"
"21","ed351cfd25e087a9eff8a70d56a18382","Tallinnas"
"22","66f4101d22dc50d6d2264bba50b3a602","Tartu linn"
"23","575702738ed7c98451d9c561b64ccafc","Tallinn"
"24","3c7840f4a9dc184dce885b829b26c239","Saaremaa"
"25","e88e3ebe8db0e3f00cb89630afc015ae","Elva"
"26","531ede8681cae168097e92c0b0226378","Tamsalu"
"27","824a1905aa8dc22939ae8c3ee01a4c98","Tallinn"
"28","02846f20757c4e4f120b8421ba21db8c","Tartu, Elva"
"29","ccb9687beb05c0d56c417aef48d541e7","Tallinn"
"30","4b3ad205a783b5f6616e4413fbfbefd1","Kolgaküla küla, Kuusalu vald"
"31","be85d7f3fb43555eb210b8cc15568ef4","Rapla"
"32","6ffc1ede0564f1835a689961b8f5b757","Valga"
"33","619d634656b1802823ea54901b5be83f","Tallinn"
"34","95037bb454a92fad34c6002b937ee393","Tartu"
"35","34e381eb00fe6b048459e27e0b6e81ac","Kohtla-Järve"
"36","294d6f5dd4a5c6d2963ff7f42a420162","Tallinn"
"37","40bee89569e1e5e8c33861123c21962b","Kuressaare, Rakvere"
"38","5183617197b476a60ac76dd363a1db98","Keila"
"39","c258db1aec5fdb0a4f326e8be47737ad",""
"40","dae66cd7857be4a5dd17ace0a7c7765d","Kohtla-Jarve"
"41","a57cb1659cb5ca3acbaa820c9f6254d3","Tallinn"
"42","fe1f7213086e6d8b2c6949a7db40bc87","Rapla maakond, Sipa küla"
"43","906d351c60499c642822a1c69cb8f7bc","Paide linn"
"44","c1241bd51afc0e8ee68f785580359956","Viljandi"
"45","b77c7f62620ff9374eb6232f9899731b","Tallinn"
"46","101481b50c4ff13c869d80b32c1f0aeb","Reegoldi küla"
"47","2d5767231df0cdc7d5450d428a2b6ef6","Tartu linn"
"48","f6503328157b877e956f93fcbd863690","Paide"
"49","a5ffbe002aabdeeb33aa530ed338bc12","Rakvere"
"50","89dd0e99d408883531afc5f31ad70299","Kisuvere küla, Haljala vald"
"51","c1287f33e6f08ff6241aeaab73c0cc70","Tartu"
"52","d66dc1c7d43f32b6ee9ea8affa0048ff","Tartu"
"53","a1f48284a550888c51a65e5bd4a09af2","Tallinnas, Varssavis, Helsingis"
"54","a405cbbd11a8d70d515bd8d2e373a6ce","Tallinn"
"55","f96e54657c55a33be21051124987d428","Kuressaare, Saaremaa"
"56","c0a53c18f447ed143673b6539d74ceff","Tallinn"
"57","af90f03518b449cec5ad4bcd671c5f9b","Kärdla"
"58","bd18302b199e14c833ae0308f3fca88a","Alatskivi alevik"
"59","f8dba849e7592d423f5600659c9902db","Põltsamaa"
"60","2cf27a94d2075276d929c435707be42e","Pärnu, Paikuse vald"
"61","8bda0d08b65f62bbdf50a56e3cf3ff08","Vääna-Jõesuu, Muraste"
"62","9d3e56e7265c6f1510ca850a3462a3f9","Lasva (Võrumaa)"
"63","762ccedbc48f023f190719826b994f61","Ääsmäe"
"64","3a05ea8d04c6099b86ceae8843ba8906","Tallinn"
"65","550232e8cf640e4bd3dbf96a0761f1a2","Kirbu küla, Valgamaa"
"66","48e7c49f523e45aa222b3145877222ce","Tallinn"
"67","2354a4e5c84fbbf38d89a62a9a4070e7","Tallinn"
"68","7bf123ad379520565d1ea58202921f3e","Viimsi, Malaga"
"69","93f92770a8f68464a48b2f6cf4e96c60","Harku, Tallinn, Helsingi, Hiiumaa"
"70","5e6ad935f19e6df99663dcf1a12cf866","Tallinn Viimsi vald Äigrumäe küla"
"71","428b6d9f418b9192e9e816db355a72c4","Käravete Küla"
"72","69fc96fa5ef15047a54c1c8f67c3b1e9","Tallinn"
"73","49b34dd61987a77971e2bca9918bf530","Haljala, Tallinn"
"74","1d74c516fa07df266de3986cd239c39d","Võru, Tartu"
"75","60dd924886cc86387c87fc2b41b59776","Pärnu"
"76","589a3d9e799afd9a95b9661ec88ee8ee","Rakvere"
"77","7f747f618f66692535546d8c727ac60d","Rakvere"
"78","f6644e1586e3b796adc42c512d3b442a","Laulasmaa, Saku"
"79","332f10ce42bc750539f92c7d59fa42f9","Jaakna külas"
"80","d18a99f99bf96975bf09a3242727d114","Jõgeva"
"81","4c20f45f4e33e90a5225cab948adfd47","Tallinnas"
"82","af648f372c178d735499b9d3bfad6b43","Tõrva"
